MACH_SER_NO,OCUR_TS,,SMU,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT,OCUR_TS_L,OCAL
Truck 11,22-Jul-16,09.22.28.000000000 PM,23035.625,346.3,96,359,222,1.6,64,364,1.7,4,54.88847136,55,23-Jul-16,08.22.28.000000000 AM
Truck 11,22-Jul-16,10.06.39.000000000 PM,23035.95,363.4,205,182,432,2.8,64,662,5.1,7,104.098825,77,23-Jul-16,09.06.39.000000000 AM
Truck 11,22-Jul-16,10.33.27.000000000 PM,23036.43,388,198,140,543,4.9,56,725,5.1,6,119.7136487,80,23-Jul-16,09.33.27.000000000 AM
Truck 11,22-Jul-16,11.02.17.000000000 PM,23036.91083,371.7,199,78,573,4.9,64,704,5.1,5,120.1868252,89,23-Jul-16,10.02.17.000000000 AM
Truck 11,22-Jul-16,11.40.08.000000000 PM,23037.45,336.7,208,1836,118,0.1,57,678,5.1,7,99.84023669,67,23-Jul-16,10.40.08.000000000 AM
Truck 11,23-Jul-16,12.30.23.000000000 AM,23038.23917,343.6,205,439,538,4.9,75,711,5.1,6,111.1964721,70,23-Jul-16,11.30.23.000000000 AM
Truck 11,23-Jul-16,01.04.31.000000000 AM,23038.80806,339,219,79,516,4.9,70,680,5.1,7,110.7232957,66,23-Jul-16,12.04.31.000000000 PM
Truck 11,23-Jul-16,01.31.40.000000000 AM,23039.26056,348.2,227,327,524,4.9,52,660,5.1,7,115.4550604,80,23-Jul-16,12.31.40.000000000 PM
Truck 11,23-Jul-16,02.40.40.000000000 AM,23039.85,363.5,210,130,477,3.5,53,510,3.5,7,85.64494238,84,23-Jul-16,01.40.40.000000000 PM
Truck 11,23-Jul-16,03.04.36.000000000 AM,23040.25167,352.4,170,780,541,3.6,64,483,3.5,6,87.06447181,102,23-Jul-16,02.04.36.000000000 PM
Truck 11,23-Jul-16,03.39.57.000000000 AM,23040.84111,367.8,133,300,508,4.1,68,760,5.6,5,122.5527076,113,23-Jul-16,02.39.57.000000000 PM
Truck 11,23-Jul-16,04.10.39.000000000 AM,23041.35278,312.6,109,410,542,5.6,71,725,5.6,4,122.0795311,87,23-Jul-16,03.10.39.000000000 PM
Truck 11,23-Jul-16,04.42.54.000000000 AM,23041.89028,380.4,135,289,586,5.6,75,757,5.6,5,130.5967077,106,23-Jul-16,03.42.54.000000000 PM
Truck 11,23-Jul-16,05.14.49.000000000 AM,23042.42222,345.4,108,164,549,5.4,75,709,5.6,4,121.6063546,103,23-Jul-16,04.14.49.000000000 PM
Truck 11,23-Jul-16,05.42.41.000000000 AM,23042.88667,380.7,109,105,504,5.4,68,697,5.6,4,120.6600017,84,23-Jul-16,04.42.41.000000000 PM
Truck 11,23-Jul-16,06.41.11.000000000 AM,23043.35,368.4,116,260,523,4.1,65,701,5.6,4,122.0795311,109,23-Jul-16,05.41.11.000000000 PM
Truck 11,23-Jul-16,07.33.51.000000000 AM,23044.26556,353.9,106,211,498,5.2,68,681,5.6,4,115.4550604,86,23-Jul-16,06.33.51.000000000 PM
Truck 11,23-Jul-16,08.13.28.000000000 AM,23044.65,351.4,115,794,627,5.4,61,712,5.7,4,120.1868252,93,23-Jul-16,07.13.28.000000000 PM
Truck 11,23-Jul-16,09.03.47.000000000 AM,23045.45,323.6,223,1172,74,0.1,65,684,4.9,6,88.95717772,58,23-Jul-16,08.03.47.000000000 PM
Truck 11,23-Jul-16,09.42.16.000000000 AM,23045.87389,335.9,206,28,505,4.8,57,635,4.9,7,104.5720015,79,23-Jul-16,08.42.16.000000000 PM
Truck 11,23-Jul-16,10.07.04.000000000 AM,23046.2875,303.7,575,28,472,4.6,61,590,4.9,10,103.6256485,72,23-Jul-16,09.07.04.000000000 PM
Truck 11,23-Jul-16,10.37.00.000000000 AM,23046.78639,324.6,227,20,547,4.8,60,695,4.9,7,105.9915309,95,23-Jul-16,09.37.00.000000000 PM
Truck 11,23-Jul-16,11.03.54.000000000 AM,23047.23472,319.9,222,4,482,4.8,79,664,4.9,7,105.5183544,88,23-Jul-16,10.03.54.000000000 PM
Truck 11,23-Jul-16,11.29.05.000000000 AM,23047.65444,364.2,293,190,529,4.9,60,716,4.9,8,114.5087075,99,23-Jul-16,10.29.05.000000000 PM
Truck 11,23-Jul-16,12.00.07.000000000 PM,23048.17194,366.8,218,670,576,4.9,64,652,5.1,7,120.6600017,90,23-Jul-16,11.00.07.000000000 PM
Truck 11,23-Jul-16,12.37.56.000000000 PM,23048.80222,372.3,201,565,541,4.8,69,686,5.1,7,120.6600017,97,23-Jul-16,11.37.56.000000000 PM
Truck 11,23-Jul-16,01.49.24.000000000 PM,23049.45,367.4,212,85,640,5.2,61,672,5.1,7,110.2501192,81,24-Jul-16,12.49.24.000000000 AM
Truck 11,23-Jul-16,02.18.23.000000000 PM,23049.9375,363.4,205,842,607,4.9,67,688,5.1,7,120.6600017,91,24-Jul-16,01.18.23.000000000 AM
Truck 11,23-Jul-16,03.00.10.000000000 PM,23050.63389,339.6,177,123,511,4.9,63,640,5.1,6,105.9915309,78,24-Jul-16,02.00.10.000000000 AM
Truck 11,23-Jul-16,03.26.26.000000000 PM,23051.07167,336.7,225,479,519,4.8,61,684,5.1,7,114.5087075,99,24-Jul-16,02.26.26.000000000 AM
Truck 11,23-Jul-16,04.00.34.000000000 PM,23051.64056,330.9,193,327,500,4.8,76,663,5.1,6,106.4647074,75,24-Jul-16,03.00.34.000000000 AM
Truck 11,23-Jul-16,04.31.05.000000000 PM,23052.14917,372.3,193,161,521,4.8,87,729,5.1,7,112.6160016,105,24-Jul-16,03.31.05.000000000 AM
Truck 11,23-Jul-16,05.34.21.000000000 PM,23052.65,390.9,210,410,709,5.2,58,691,5.1,7,118.7672958,73,24-Jul-16,04.34.21.000000000 AM
Truck 11,23-Jul-16,06.10.27.000000000 PM,23053.27167,368.3,218,2,490,4.9,123,694,5.2,7,108.8305898,89,24-Jul-16,05.10.27.000000000 AM
Truck 11,23-Jul-16,06.36.59.000000000 PM,23053.71389,329.2,176,85,504,4.8,63,617,5.1,6,104.5720015,88,24-Jul-16,05.36.59.000000000 AM
Truck 11,23-Jul-16,07.02.04.000000000 PM,23054.13222,340.7,225,477,539,4.9,74,640,5.1,7,114.981884,85,24-Jul-16,06.02.04.000000000 AM
Truck 11,23-Jul-16,07.35.59.000000000 PM,23054.6975,304,149,190,496,4.9,63,593,5.1,5,104.098825,86,24-Jul-16,06.35.59.000000000 AM
Truck 11,23-Jul-16,08.18.49.000000000 PM,23055.05,399.9,207,333,548,4.8,61,671,5.1,7,117.8209428,77,24-Jul-16,07.18.49.000000000 AM
Truck 11,23-Jul-16,08.50.25.000000000 PM,23055.64472,365.5,205,197,492,4.8,58,683,5.1,5,110.2501192,78,24-Jul-16,07.50.25.000000000 AM
Truck 11,23-Jul-16,09.18.45.000000000 PM,23056.11722,393.5,219,19,486,4.8,62,670,5.1,7,112.1428251,90,24-Jul-16,08.18.45.000000000 AM
Truck 11,23-Jul-16,09.44.00.000000000 PM,23056.53806,384.1,198,8,472,4.8,59,705,5.2,7,114.981884,84,24-Jul-16,08.44.00.000000000 AM
Truck 11,23-Jul-16,10.09.02.000000000 PM,23056.95528,381.1,216,68,489,4.9,73,568,3.6,7,83.75223647,80,24-Jul-16,09.09.02.000000000 AM
Truck 11,23-Jul-16,10.33.36.000000000 PM,23057.36472,392.8,231,137,426,3.5,112,706,5.2,7,123.4990606,117,24-Jul-16,09.33.36.000000000 AM
Truck 11,23-Jul-16,11.01.34.000000000 PM,23057.83083,323.5,176,139,499,4.9,56,678,5.2,6,109.7769427,72,24-Jul-16,10.01.34.000000000 AM
Truck 11,23-Jul-16,11.28.26.000000000 PM,23058.27861,345,175,329,534,4.9,65,713,5.2,5,115.9282369,91,24-Jul-16,10.28.26.000000000 AM
Truck 11,23-Jul-16,11.59.57.000000000 PM,23058.80417,346.6,167,146,501,4.9,63,675,5.1,6,110.2501192,80,24-Jul-16,10.59.57.000000000 AM
Truck 11,24-Jul-16,12.48.53.000000000 AM,23059.25,346.9,176,259,295,1.7,64,676,5.2,6,105.9915309,75,24-Jul-16,11.48.53.000000000 AM
Truck 11,24-Jul-16,01.14.23.000000000 AM,23059.77528,368.1,184,126,463,4.9,67,682,5.2,7,114.5087075,81,24-Jul-16,12.14.23.000000000 PM
Truck 11,24-Jul-16,01.40.48.000000000 AM,23060.21556,357.8,197,227,519,4.9,57,679,5.2,6,121.1331782,86,24-Jul-16,12.40.48.000000000 PM
Truck 11,24-Jul-16,02.43.41.000000000 AM,23060.85,347.4,177,1416,766,4.3,70,797,5.9,7,143.8456491,157,24-Jul-16,01.43.41.000000000 PM
Truck 11,24-Jul-16,03.39.40.000000000 AM,23061.78472,321.6,182,129,542,5.6,68,743,5.9,6,126.3381194,80,24-Jul-16,02.39.40.000000000 PM
Truck 11,24-Jul-16,04.08.34.000000000 AM,23062.26639,378.5,139,3,524,5.6,69,846,5.9,6,128.2308253,87,24-Jul-16,03.08.34.000000000 PM
Truck 11,24-Jul-16,04.36.00.000000000 AM,23062.72361,337.9,160,3,548,5.6,81,762,5.9,5,121.6063546,80,24-Jul-16,03.36.00.000000000 PM
Truck 11,24-Jul-16,05.02.59.000000000 AM,23063.17333,378,189,15,580,5.6,72,800,5.9,6,130.1235312,82,24-Jul-16,04.02.59.000000000 PM
Truck 11,24-Jul-16,05.31.43.000000000 AM,23063.65222,384.5,161,189,570,5.6,70,803,5.9,6,131.5430607,102,24-Jul-16,04.31.43.000000000 PM
Truck 11,24-Jul-16,06.43.48.000000000 AM,23064.25,316.9,135,256,543,4,71,833,5.9,6,122.5527076,105,24-Jul-16,05.43.48.000000000 PM
Truck 11,24-Jul-16,07.15.42.000000000 AM,23064.81583,349.9,160,81,614,5.6,73,855,5.9,7,125.3917665,87,24-Jul-16,06.15.42.000000000 PM
Truck 11,24-Jul-16,07.46.38.000000000 AM,23065.33139,370.5,157,7,601,5.6,913,765,5.9,5,128.7040018,77,24-Jul-16,06.46.38.000000000 PM
Truck 11,24-Jul-16,08.32.56.000000000 AM,23066.03694,334.7,175,98,537,5.6,57,723,5.9,5,118.7672958,80,24-Jul-16,07.32.56.000000000 PM
Truck 11,24-Jul-16,09.00.32.000000000 AM,23066.49722,379.8,219,4,535,5.7,54,768,5.9,8,123.0258841,81,24-Jul-16,08.00.32.000000000 PM
Truck 11,24-Jul-16,09.28.00.000000000 AM,23066.955,370.7,188,96,562,5.7,68,756,5.9,7,122.5527076,85,24-Jul-16,08.28.00.000000000 PM
Truck 11,24-Jul-16,09.56.58.000000000 AM,23067.43778,351.8,177,77,575,5.7,52,720,5.9,7,120.1868252,88,24-Jul-16,08.56.58.000000000 PM
Truck 11,24-Jul-16,10.24.45.000000000 AM,23067.90083,353.1,182,5,532,5.7,79,710,5.9,7,117.8209428,75,24-Jul-16,09.24.45.000000000 PM
